label,precision,recall,f1-score,support
anxiety_disorders,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
autism_adhd_disorders,0.2,0.25,0.2222222222222222,4.0
depressive_disorders,0.6,0.42857142857142855,0.5,7.0
eating_disorders,0.0,0.0,0.0,3.0
neurocognitive_disorders,0.5161290322580645,0.64,0.5714285714285714,25.0
personality_disorders,0.0,0.0,0.0,8.0
psychotic_disorders,0.3333333333333333,0.5714285714285714,0.42105263157894735,7.0
accuracy,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213
macro avg,0.28325652841781873,0.3108163265306122,0.28891367613172125,61.0
weighted avg,0.36999823726423403,0.4262295081967213,0.389767504090196,61.0
