label,precision,recall,f1-score,support
anxiety_disorders,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
autism_adhd_disorders,0.0,0.0,0.0,4.0
depressive_disorders,0.0,0.0,0.0,7.0
eating_disorders,0.0,0.0,0.0,3.0
neurocognitive_disorders,0.5588235294117647,0.76,0.6440677966101694,25.0
personality_disorders,0.5,0.375,0.42857142857142855,8.0
psychotic_disorders,0.3333333333333333,0.14285714285714285,0.2,7.0
accuracy,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213
macro avg,0.26010404161664663,0.24377551020408164,0.2430300933932895,61.0
weighted avg,0.38203150112504014,0.4262295081967213,0.3922994482594371,61.0
